RegionID,RegionName,StateName,SizeRank,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03
61639,10025,New York,1,,,,,,,,,,,,,,,,,,,,,935200,910000,961300,927500,974500,954100,987200,959000,1020200,1038500,1127500,1057400,986100,909100,918500,938200,928000,974800,939800,1053400,1047500,1030200,967500,1002000,1069100,1122400,1036400,958300,931500,928000,1069300,1043100,1217500,1024100,1029800,835100,961500,892000,869800,854700,870500,920100,1007900
84654,60657,Illinois,2,386200,388200,391100,385200,371700,368600,361600,353000,336200,330100,312800,323900,308200,315300,312700,323900,328100,323600,334900,346700,337400,325500,318100,313300,326200,317600,332600,331600,331200,315000,302500,305900,328800,358900,370100,369500,364200,366300,372900,333100,321900,316800,370500,395200,407400,405300,417500,419400,428500,425200,408300,381300,370900,397600,417700,424200,425500,411900,400600,390400,363300,384300,411500
61637,10023,New York,3,,,,,,,,,,,,,,,,,,,,1147500,1135700,1166800,1336000,1306100,1273000,1220700,1274400,1181700,1152100,1082100,1141400,1136500,1166100,1193800,1183600,1246100,1296900,1174000,1198300,1166400,1168800,1110400,981500,1090700,1090700,1123200,1041700,1068300,1140900,1227700,1165000,1237800,1127000,1229500,1141900,1146900,1052200,1020200,1051000,1151400,1060300,1148400,1107500
91982,77494,Texas,4,302200,299200,307100,306200,317800,318100,324100,313900,311100,311800,310300,311400,307300,313000,312600,310400,307700,309800,311100,310000,317200,316200,323300,319100,320200,316300,310800,313500,314300,315400,312700,312200,312300,316200,318600,314400,319400,309900,321600,326300,339600,333400,325100,323400,326300,323800,320600,327600,330700,332900,327800,334600,337500,335800,328500,322100,323500,319600,321600,313700,321300,320100,331700
84616,60614,Illinois,5,,,,,,,,,,,,,,,,,,,,,,,,,,,412000,395200,397800,388800,396500,407600,380700,377400,375200,376300,353200,371600,391800,438600,420700,380600,400000,429100,499300,508900,508200,520200,532500,533500,532000,495900,508000,488900,496400,469400,490000,482500,536000,562900,568900,556400,509800
91940,77449,Texas,6,146000,147000,151600,155100,154600,153400,152800,155200,154800,156100,155000,155500,156600,157600,158000,160200,164800,166300,167900,164700,164100,162600,164500,165000,165000,164500,165500,165700,167300,168400,170300,171700,172900,173600,174500,173000,172800,175900,177500,177600,174300,175500,174800,174200,175700,178300,180400,181400,182600,186300,187400,186000,185300,185900,188300,188400,185200,185600,186100,189800,191000,193000,197600
61616,10002,New York,7,,,,,,,,,,,,,,,,,,,805800,828800,822600,785000,842200,808000,845000,752400,788500,722200,799900,760800,840300,831400,857600,824200,834900,828700,838900,903600,986900,1099300,999300,948500,818800,866000,802900,794600,744300,814800,782000,751200,699400,724300,893000,944000,954800,875000,895200,851300,784800,727100,818300,820600,898900
91733,77084,Texas,8,143500,147900,151900,151000,150200,151900,149600,151500,150800,155000,158000,158600,159900,157900,155300,155300,154400,156500,158200,158100,157300,155900,157100,160100,159700,164600,164300,164700,162900,163100,164700,168700,171800,171800,161700,152200,142900,146400,153000,160300,160800,163200,168300,172700,175500,175100,176000,174200,177800,179500,181800,177800,177600,177500,179800,180700,185500,189600,191300,187500,190500,195700,197400
93144,79936,Texas,9,114300,116700,117600,118400,116900,112700,115200,116200,117900,114700,112900,117900,122000,121700,115500,113700,114400,114700,112900,115800,120400,123600,123500,123200,123500,121200,121700,122300,123600,125200,125600,126200,123600,128400,128500,128400,124400,124800,123100,123000,124400,128500,128500,127900,127000,126700,128400,129500,130200,132700,136000,138200,139000,134600,135800,136100,137200,135900,136900,139900,145800,143200,
84640,60640,Illinois,10,230100,230300,238900,244500,242600,235300,226200,219400,210100,198500,183100,190800,187600,209200,201300,217000,216900,219800,219400,211100,214500,243800,263200,277100,257800,241100,224500,211900,218100,225100,228100,229900,208700,214500,211700,241000,221500,205700,214500,234300,251000,233300,222400,228300,239000,237500,240500,218100,235800,245100,267500,283700,266800,262300,256600,276200,253900,253300,240100,288600,277500,302000,293400
