,Bronx,Brooklyn,Manhattan,Queens,Staten Island
2015-Q1,793669.6993236715,1130283.8796296297,1866548.988772745,535577.1694915254,433772.44444444444
2015-Q2,1132874.5533333335,925830.0375375375,1785912.6186604723,572124.8442431326,430735.1111111112
2015-Q3,637252.5130434782,974148.1103603604,1902829.0793650793,557428.8644067796,432843.19444444444
2015-Q4,806935.975,969257.4662162162,1756213.6281455671,611727.8919735048,432944.77777777775
2016-Q1,913456.9333333332,992066.71996997,1778926.2433217189,585771.8474576272,438420.02777777775
2016-Q2,676948.3355555554,975777.5452952953,2174440.7908730158,585371.3559322035,434230.0833333333
2016-Q3,661443.3333333334,1027944.3981481482,1938502.0571041424,625813.1186440679,475787.05555555556
2016-Q4,762114.2933333333,1018279.2407407407,2065984.325203252,636082.7395285409,488450.8333333333
2017-Q1,777692.7083333334,1022893.2314814815,1863706.4010162603,602400.5254237289,483276.1666666667
2017-Q2,722392.0605555555,1027421.9351851852,1837731.4603174601,691745.9717514124,527237.5555555555
2017-Q3,750029.2894444444,1041399.9604604604,1866493.1577622918,653287.4858757062,582139.0555555555
2017-Q4,854828.2400000001,1041316.2882882883,1926231.6746031747,681884.8531073447,577678.6388888889
2018-Q1,748425.3205555556,1084244.675925926,1926456.7583333335,686408.5227936879,541805.7222222222
2018-Q2,601566.6222222222,1097440.7314814813,2313147.603174603,790285.6647834275,537340.4722222221
2018-Q3,831989.59,1156621.7407407407,1806496.9797619048,730426.3581726085,534101.1388888889
2018-Q4,675358.0,1111453.5925925926,1902287.6626016262,684257.4350282486,556641.0555555556
2019-Q1,601259.5851010102,1037106.9907407407,1940616.9991758242,659818.8305084746,540746.138888889
2019-Q2,645172.7333333333,1037356.2072072072,1991759.7906504066,677657.0677966102,548640.1944444444
2019-Q3,586581.9746376812,1033249.6126126125,1463017.399593496,677711.3672316384,572146.5833333334
2019-Q4,633292.3739130435,1088984.6594094094,1808150.713888889,767455.4124293787,526842.0277777779
